,E,I,S,N,T,F,J,P
Topic 0,0.012865438206210804,0.008741355350563824,0.011922590893016135,0.009684202663758492,0.011099105234484173,0.010507688322290452,0.012860209966086625,0.008746583590688002
Topic 1,0.08797245875216048,0.08169992288407943,0.08182059033969435,0.08785179129654556,0.09070779617976962,0.0789645854564703,0.0852467697946367,0.0844256118416032
Topic 2,0.014551049418026226,0.019846069096824293,0.019148123938592214,0.015248994576258309,0.01268702447428767,0.02171009404056285,0.019564912734971796,0.014832205779878729
Topic 3,0.010585175311214851,0.01228299284342006,0.01331662386018485,0.009551544294450062,0.0105762772910315,0.012291890863603414,0.013359385915048674,0.009508782239586238
Topic 4,0.014493971021667372,0.017048638182303198,0.017798253414493755,0.013744355789476815,0.014970186963422618,0.016572422240547956,0.01864931785211705,0.012893291351853525
Topic 5,0.08015476068337879,0.07429432732783037,0.06637925213508283,0.08806983587612632,0.08056550620373133,0.07388358180747782,0.08260143745825586,0.07184765055295331
Topic 6,0.12558131920402932,0.11046784176717368,0.08552636837839589,0.15052279259280713,0.13859935798833636,0.09744980298286667,0.14730575751907996,0.08874340345212305
Topic 7,0.028805243813418147,0.033061349840299105,0.026477168356620957,0.035389425297096294,0.031471572394020694,0.030395021259696564,0.03261961083694361,0.029246982816773643
Topic 8,0.03062745879216422,0.041363902165622884,0.03590579865389842,0.03608556230388867,0.036619478336729086,0.035371882621058,0.032981927484624786,0.03900943347316231
Topic 9,0.08135994822753208,0.10680011215497472,0.10833388516523426,0.07982617521727253,0.07725759492404337,0.11090246545846344,0.09075426651542673,0.09740579386708009
Topic 10,0.015831084542483373,0.019604236459033152,0.021248793394281176,0.01418652760723535,0.017112746364642724,0.0183225746368738,0.016593390813218444,0.01884193018829808
Topic 11,0.08749738087619202,0.09558644209859232,0.09027647608993318,0.09280734688485116,0.081846832157422,0.10123699081736233,0.10046673282072471,0.08261709015405963
Topic 12,0.01338587693761343,0.012371229044433092,0.012594402698654292,0.01316270328339223,0.012529074712069717,0.013228031269976806,0.01083566337058313,0.01492144261146339
Topic 13,0.035471902536860736,0.03514520718469461,0.037990333083175315,0.03262677663838004,0.03766222819867953,0.03295488152287582,0.02996259951865051,0.040654510202904844
Topic 14,0.025764403151875323,0.023090200494151728,0.02362857537287061,0.025226028273156443,0.021474126842810706,0.02738047680321635,0.025222194598932185,0.02363240904709487
Topic 15,0.19366050455358863,0.16747188219990589,0.1949597000569409,0.16617268669655366,0.1813911752572256,0.17974121149626895,0.1482069324922078,0.21292545426128678
Topic 16,0.024645423317585763,0.0369443367257116,0.03433772476509384,0.02725203527820353,0.030539875214007292,0.031049884829290074,0.03472952361760503,0.02686023642569233
Topic 17,0.01124740808564496,0.009801652966538309,0.008936673608718826,0.012112387443464446,0.01036384121981224,0.01068521983237103,0.010856793347644684,0.010192267704538589
Topic 18,0.07009269769199643,0.05754811233092044,0.06464999810076764,0.06299081192214923,0.0716197916025365,0.056021018420380375,0.04712760236739608,0.08051320765552078
Topic 19,0.03540649574854033,0.03683018907922898,0.044748668258157834,0.02748801656961146,0.030906408681013207,0.041330276146756086,0.040054971793776914,0.03218171303399239
