,Topic 0,Topic 3,Topic 5,Topic 6,Topic 8,Topic 9,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23
istj,0.010612528587939233,0.025922382454741443,0.00707755383935638,0.030705547171451616,0.05395341658382522,0.0866309331070951,0.06556802681048393,0.022361612146856454,0.00957939538499068,0.011852585137157487,0.056689234867538296,0.016548674263026353,0.03644408977250624,0.04399968987058592,0.0789056410674317,0.014388357913508835,0.024492671000789626,0.07920028472694322,0.076264367913149
isfj,0.01258797903980579,0.018562487200122654,0.0058981560578304,0.025170581667200646,0.04695769987625721,0.06694150548935215,0.05544079720837564,0.0496947795127798,0.015237478251422614,0.017647814509608315,0.042139416947280794,0.01648853359722205,0.05742866804652854,0.05714528967048834,0.06806943485058323,0.017869174043960732,0.019281504712680444,0.09499515156165136,0.042220217726041016
infj,0.015317028772756525,0.010825857998656851,0.009810003310788677,0.017319484305928404,0.03932221125385406,0.09713683453081287,0.10482636055322862,0.028552662030661636,0.011047507487368139,0.011101178106439487,0.03497274885314922,0.016984453694464927,0.04122417873580832,0.027706735879581067,0.06635450751054997,0.018056498343277726,0.014691997862251,0.0656911737934758,0.09278015583135037
intj,0.011985914600266994,0.01169542525063585,0.00825566546514338,0.02407835002323968,0.039103572887901054,0.10633583064835492,0.12490209802367686,0.022039501207190244,0.008082231154932297,0.013570508301767004,0.03928108037514148,0.015037646970314162,0.03610874363669221,0.017079829300665445,0.061804548200424705,0.01566455297210159,0.015463093605470088,0.051351830547432906,0.1353807627040527
istp,0.021900642492750505,0.012248130084067228,0.006524886718988947,0.031442919208655086,0.05927278590090437,0.08334888791579459,0.04618985082675301,0.02811358486426044,0.012430648778631802,0.015394006326098357,0.08654941764441189,0.02314188962631117,0.05337283780148442,0.026225894031909044,0.07790535798224953,0.005826103383082371,0.04124898466729543,0.08723244443561949,0.033493155124344705
isfp,0.01620463646239239,0.014870287665547086,0.007403414499592767,0.020932924928076333,0.05252209055035629,0.0848691453162588,0.02806663177906674,0.058802299418235705,0.00873815720067013,0.014172172085307104,0.07062341511569604,0.02159938971109344,0.04762111271310403,0.04131601515944304,0.07488994390347929,0.010637113131570723,0.02468037102913979,0.10904330922403709,0.03280425391572957
infp,0.023066704686639475,0.009560241904310174,0.009734452589048185,0.022099773833647425,0.06477694212834012,0.10571654259270395,0.05374031704330168,0.03794555190796815,0.015466857652610314,0.00856507808783053,0.06407681826523584,0.02292050201654,0.034067777572978776,0.023249796505099903,0.07226835718618718,0.012554612649694884,0.02217856716358175,0.07595613629362989,0.05914792385710868
intp,0.0213282018751532,0.012338457396729438,0.008096015955319589,0.026898936461378718,0.06530661254329498,0.11492661915687041,0.06170286595377314,0.019883611689642304,0.013570262935285692,0.009452226692370688,0.0749658211193609,0.022179595481233237,0.03593045742162725,0.0324673166197868,0.07555588002069091,0.010721952646802209,0.016790015795434272,0.05492358146073122,0.08020781578908244
estp,0.017620772277841753,0.004515022371906525,0.012372525483806384,0.02636347474717695,0.07550188718047139,0.11669765599674065,0.05772806071696323,0.007961778349999804,0.011031886662531179,0.00606684282891365,0.08451854650309543,0.009389225732265914,0.04309460222984853,0.03733854267848073,0.07080658422504711,0.014725256563597213,0.01079858100220008,0.07814993659530955,0.04673600681995595
esfp,0.02367913748674192,0.005523818939272833,0.008031292471843761,0.029437876234540496,0.038967693610436394,0.0850144823638423,0.04420598338881597,0.02830917341120296,0.006419823070172734,0.010418790309228208,0.11138354310972726,0.01802970123261385,0.037628867233116196,0.030427728783994183,0.07509178735251654,0.007840128808677307,0.02991869996165552,0.07318728106208161,0.043704060196296794
