,E,I,S,N,T,F,J,P
Topic 0,0.019409686300994555,0.016625454564713017,0.017351130139257574,0.01868401072645,0.01658128358159106,0.01945385728411651,0.01427736050050617,0.021757780365201398
Topic 3,0.008486701899910378,0.014502908744351343,0.013125046896980712,0.009864563747281006,0.01216864746904257,0.010820963175219148,0.014008407064461359,0.008981203579800362
Topic 5,0.008841162461785065,0.00785001855450854,0.008016191997792013,0.008674989018501592,0.008005480894909446,0.008685700121384159,0.007826224091244512,0.008864956925049093
Topic 6,0.024605231098009564,0.02483106469994724,0.024432895074050765,0.025003400723906038,0.028254008852589736,0.02118228694536707,0.02305091226351909,0.02638538353443772
Topic 8,0.05045170919942475,0.05265191646559167,0.051548940225803315,0.0515546854392131,0.05683614712491631,0.04626747854010011,0.04173502487511614,0.06136860078990028
Topic 9,0.08687714709427007,0.09323828734465535,0.08097862293131053,0.09913681150761489,0.09337600445170544,0.08673942998721998,0.0819319967819456,0.09818343765697982
Topic 11,0.07493181220112419,0.06755461852483245,0.05856940953116874,0.0839170211947879,0.07717269766683679,0.06531373305911986,0.08919169801041266,0.053294732715543976
Topic 12,0.022959538551841182,0.03342420034719934,0.031086806633098634,0.025296932265941895,0.01901568450715764,0.037368054391882885,0.029868496632755835,0.026515242266284694
Topic 13,0.010663770245817774,0.011769067355738958,0.01056009503877339,0.011872742562783343,0.01052536853752053,0.011907469064036202,0.01100876281292492,0.011424074788631814
Topic 14,0.01009915350771693,0.01271944615582237,0.013238331697449384,0.00958026796608992,0.010076846626578002,0.012741753036961302,0.013077125920113512,0.009741473743425788
Topic 15,0.07062019443796722,0.0586622441484768,0.07267598629632364,0.056606452290120374,0.06652986617561767,0.06275257241082635,0.0483264511042899,0.08095598748215412
Topic 16,0.01718576045789141,0.01936258567002567,0.01792671318592539,0.01862163294199169,0.01763783990527688,0.0189105062226402,0.017087378735596265,0.019460967392320814
Topic 17,0.03133435969433978,0.042774733212591225,0.04196903133436539,0.03214006157256561,0.03619250407678001,0.037916588830150984,0.036121276361588094,0.03798781654534291
Topic 18,0.03293055217366706,0.033648820879694945,0.04132838743371299,0.025250985619649027,0.028154346933784644,0.03842502611957736,0.03790238791150829,0.028676985141853722
Topic 19,0.06061053489680183,0.07196920884019957,0.06858888994880225,0.06399085378819915,0.0672821072836582,0.06529763645334319,0.060436802015121575,0.07214294172187982
Topic 20,0.015008874721820957,0.013214795635499887,0.01423155060579527,0.013992119751525568,0.014285263302613375,0.013938407054707466,0.017662746651539232,0.010560923705781608
Topic 21,0.02011859481499019,0.022353400729580298,0.023096917754695415,0.01937507778987508,0.022606766482849032,0.01986522906172146,0.017104151488742763,0.025367844055827732
Topic 22,0.06246626781022848,0.07729923900544011,0.0842531401359373,0.05551236667973132,0.05893021763318078,0.08083528918248784,0.06736966969708173,0.07239583711858688
Topic 23,0.07988409029427773,0.0690373316076073,0.05207487722749737,0.09684654467438768,0.08904552437193405,0.05987589752995099,0.09166117800275998,0.057260243899125055
