,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
istj,0.09361346372150148,0.12136852641327668,0.04774769877390257,0.03014975652980423,0.027230299105121605,0.1289565178276497,0.04636730194772422,0.032993624231750666,0.02682896875021505,0.02673761539980551,0.07007730110848408,0.09480098147589905,0.06771049037640671,0.04473515764495396,0.026072922217730783,0.02505257038507059,0.02463428923579773,0.027399391182128592,0.030669206724248246,0.006853918473740636
isfj,0.08035938876967591,0.0920409061668529,0.051637901110642724,0.048972724870779256,0.03023957122750689,0.11685440699915449,0.04486865975015642,0.04802589764749628,0.03216213596075889,0.02650954403135664,0.05075428189405472,0.07452587204442263,0.11913579566582765,0.03756848422579044,0.013101565320859343,0.03419940669492452,0.040686739284885316,0.023309870619134296,0.021454579857693185,0.013592270823020234
infj,0.05456976598229342,0.07218762156249174,0.048012963849249364,0.032296719495571904,0.01342243677972289,0.14471559698573871,0.05426810360531663,0.04949885714499137,0.05677914529771172,0.023751388775606192,0.09902194222212629,0.11046250112288852,0.0672220127807662,0.029153751721159603,0.024255448319787334,0.02528229581930181,0.022315670495487088,0.017972065503207065,0.042336308751334574,0.012475404643963718
intj,0.058334961792201614,0.08992054278805019,0.04614649151838546,0.02887667730902578,0.012538728351859723,0.12819486718450282,0.047567666726303214,0.03772582787791827,0.052718393788409895,0.0237642118898179,0.13493383061154562,0.13193244978257715,0.04693254861858653,0.034581055126703744,0.02303987169603359,0.016526670680937276,0.010748948140450167,0.017411892382898538,0.05171767196234435,0.006386691871529844
istp,0.08847011626220667,0.18433636868004444,0.06365294576998493,0.035831510869845595,0.011817674340659948,0.11503217209669703,0.06229925298640029,0.030816337718486478,0.017974293999691117,0.025623191387392757,0.05614151354153859,0.052161719202747876,0.0802647324130272,0.04630427094093995,0.012347516985744522,0.03237437471694086,0.023945054269052395,0.03969550203843356,0.009556832450682501,0.011354621274133152
isfp,0.0779110623700595,0.1609086742558344,0.07066961889107153,0.04885240099709246,0.01578415516679548,0.12875791383067073,0.05558759803760496,0.03211717103501767,0.02374139772838712,0.023898789147882564,0.0525937369555233,0.048065724527075214,0.08799048470027826,0.033786366314612,0.011569108823061336,0.04928966595089299,0.03264315806319179,0.027964524052522418,0.01291471074159187,0.004953738508058639
infp,0.060178632039050814,0.14569888042960558,0.0520456019768231,0.029659274790322793,0.015045580770362709,0.14505143769818746,0.07716073445536521,0.05480789818003741,0.033955101754824926,0.022316998870248166,0.07869235190719479,0.06660159914648313,0.06243851367825032,0.03447664949360249,0.016740165613372257,0.033077842559143956,0.016057960678287277,0.026421916513795843,0.023157801383029596,0.0064150572784619185
intp,0.07383901918634302,0.1559950972309522,0.04469695810836358,0.023518354071702684,0.01830273781336335,0.13846949419981844,0.07246381688530767,0.04592406801422322,0.031438295797785946,0.02551805413351509,0.11169148515463125,0.06832030175969359,0.04212953482242197,0.03863561715558541,0.011517106582783565,0.02205726941434179,0.022904373634498116,0.01873451601248091,0.0276671506517647,0.0061767496933064475
estp,0.07940675326186465,0.21258096794539597,0.06525547092256602,0.012845087028836133,0.01979637999116676,0.12804103364484035,0.041218927611407705,0.03859690673278237,0.022005176823804505,0.018333097062568412,0.09875365361083822,0.07629656368750147,0.05620572336905752,0.032977055921583086,0.018194771315065736,0.020386175165549504,0.02182841485067911,0.012500005160582077,0.01746720042960078,0.00731063991166593
esfp,0.07443888164160509,0.1915241687926738,0.050248447297747786,0.028106285159605896,0.01622983089700206,0.1444206347407361,0.06930881160395534,0.01971918698941356,0.020773757106859383,0.023490768100349793,0.055831411032838445,0.06314532678001782,0.06716768312587934,0.046585279266085196,0.03018853009065236,0.02162231658523482,0.01914912204711595,0.03243621359356386,0.01484140385143511,0.010771939776636775
