MBTI类型,主题多样性
isfj,2.6231661897838605
infj,2.591141268007871
estj,2.5821189924871213
enfj,2.5758753477922283
infp,2.5724754005594286
esfj,2.567515540787723
isfp,2.556075437941551
enfp,2.553228922163194
istp,2.5486944509329734
intp,2.546514875029706
intj,2.5261899999071855
estp,2.485607352300316
esfp,2.468287172503261
entp,2.462470048309779
entj,2.4607901075288976
istj,2.3104440778137185
