,E,I,S,N,T,F,J,P
Topic 0,0.0704510211507918,0.06396995830432413,0.04843809604876937,0.08598288340634654,0.08136187102520695,0.05305910842990896,0.08335837116434175,0.05106260829077417
Topic 1,0.10672987762896913,0.11370705757221142,0.10266500823380131,0.11777192696737922,0.11507759006437393,0.1053593451368066,0.09433846878957924,0.1260984664116013
Topic 2,0.07103170918896042,0.055744360454775765,0.06640979883385474,0.06036627080988144,0.06904649359619491,0.05772957604754128,0.050939375738979185,0.07583669390475699
Topic 3,0.036066195765347434,0.050540881565798765,0.052723359845829425,0.03388371748531677,0.0416110631811762,0.04499601414996998,0.04584773061016025,0.04075934672098593
Topic 4,0.07343948777717606,0.082439169032159,0.08285490203308708,0.07302375477624799,0.08059496496790697,0.07528369184142812,0.06488714044039169,0.09099151636894337
Topic 5,0.09933521354655907,0.11325804459871053,0.11675706742502415,0.09583619072024546,0.09074350773236216,0.12184975041290744,0.10700672524530051,0.1055865328999691
Topic 6,0.05153437155803198,0.043478352301297866,0.051007606074320595,0.04400511778500924,0.052755472563050264,0.04225725129627957,0.04084111189292811,0.05417161196640173
Topic 7,0.027770079436457443,0.037425614972198845,0.03549847639517788,0.02969721801347841,0.030525051917836474,0.03467064249081982,0.036450882299546614,0.02874481210910967
Topic 8,0.019326244961149288,0.026464330725680975,0.02523324605245488,0.020557329634375385,0.017985341878065966,0.0278052338087643,0.024474807844723643,0.021315767842106623
Topic 9,0.018146061164175116,0.024295269684962966,0.024462485927720046,0.017978844921418033,0.01942878393881874,0.023012546910319343,0.023365628878264384,0.019075701970873698
Topic 11,0.06441819925291292,0.05695476919973266,0.04964933978254243,0.07172362867010315,0.06667277888315147,0.05470018956949413,0.061837605463397366,0.05953536298924822
Topic 12,0.037490883708733366,0.03886885289773834,0.04723629499272538,0.029123441613746314,0.03273318501950362,0.04362655158696807,0.043133347215229066,0.03322638939124263
Topic 13,0.05755262893160744,0.05415629976634239,0.0484954031462885,0.06321352555166133,0.05813108739974543,0.05357784129820441,0.07042577876608343,0.0412831499318664
Topic 15,0.11881068710046998,0.0943502171227732,0.09805801444593502,0.11510288977730813,0.10397781219528932,0.10918309202795386,0.12423738684381123,0.08892351737943194
Topic 16,0.023395598184912044,0.025302364990341365,0.026539036202237777,0.02215892697301563,0.022786246425958976,0.02591171674929443,0.019581677661145002,0.0291162855141084
Topic 17,0.025536187154369505,0.02416238244645616,0.026139733997755786,0.023558835603069882,0.02634296013467913,0.023355609466146534,0.020503340354949533,0.029195229245876135
Topic 18,0.024400571492143197,0.027365332129248385,0.028938713076930477,0.022827190544461105,0.021526418955661653,0.030239484665729937,0.02476988953615318,0.02699601408523841
