,Topic 0,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 19,Topic 20,Topic 21,Topic 22
istj,0.010811841620985384,0.08341415205222275,0.022547591206273015,0.006462711555785302,0.07816906491061532,0.02405676325269125,0.06966927263241687,0.04475940793186915,0.033885575968800374,0.04358178184250824,0.03603905269791536,0.0553217247197538,0.03127324637601631,0.015506272719303313,0.0481362521977328,0.05321903134916487,0.04164224810871251,0.011997676723069837,0.0056456376149170056
isfj,0.011824092775531337,0.06769616004750967,0.02495151049429746,0.016561639233114565,0.062076487543206216,0.02148252223017922,0.0588421773015028,0.06600482647244073,0.0342988706320534,0.05731961925527515,0.02403577255795376,0.028261588678115904,0.03367160317378336,0.034888686937447747,0.08707636692825363,0.041556347631390406,0.05139819593423554,0.011916512689432628,0.010411125555312718
infj,0.0187935992720747,0.12287884779293662,0.021662342473939278,0.00966929007192195,0.05906146879694298,0.016958836367388222,0.047660473957501795,0.04281473240248742,0.02936850998360439,0.030619570047045276,0.022240297261538568,0.059926116375699404,0.02011401268066095,0.018916202677618187,0.05338786088457558,0.06556676729871956,0.04576198518882236,0.015177200303041934,0.008792304814264414
intj,0.012825301919855009,0.1555685429112308,0.014077785358888631,0.009503163847654114,0.051826340025630566,0.01772864851090664,0.05488939015852428,0.03867655765779057,0.02996034862573556,0.01924346193600251,0.019287854755580952,0.08552090294940012,0.020686682272925735,0.013511164805080038,0.032646552361994055,0.07688593452648151,0.035543302159633625,0.012914061260321625,0.006252398477338523
istp,0.010880273966898934,0.04817362611544675,0.03156203879966639,0.021401088221138558,0.0783543706545397,0.039664897708609786,0.0724876022277135,0.05546693043981649,0.04719544697161486,0.02433325843191766,0.023362889728768422,0.0163696269598657,0.027743704976332283,0.019408156935692582,0.03921881054350564,0.060842818899669755,0.049379650793689896,0.02630609708811976,0.00785213091885258
isfp,0.014364721251264095,0.03673659185127249,0.027069072293764786,0.010070661355300839,0.07837028350453748,0.027323943503472895,0.05257452991332307,0.046809676150909786,0.058009608922591785,0.038937760320604815,0.02504781040167475,0.015629230517911197,0.024305217951012665,0.031810537283245365,0.07018219197091488,0.06122103967232409,0.04609775759971499,0.01593180463239004,0.01706622015897749
infp,0.015933023861893807,0.07164581423578124,0.01927374008475777,0.013360395058853823,0.07324640782289422,0.024816962662912154,0.0570602971532447,0.040127362564580354,0.033117704222757754,0.026038829409684716,0.0356415843869686,0.0343627788681215,0.017286130350331858,0.022640826013708412,0.04663201391546371,0.07414284226030139,0.04373714484618588,0.022584168969190042,0.012132939436732515
intp,0.010348631878888988,0.07955214172846777,0.015160344308553965,0.011226343975846006,0.08052127472603744,0.019955514764068497,0.058558574346583785,0.027969025802199284,0.035205687048615174,0.03492593827237208,0.030999787918971726,0.04553033075189192,0.02085832169216619,0.011721776291369623,0.037908268505844556,0.09708968560880524,0.039165437991989106,0.019080055156416663,0.00849319645703816
estp,0.01767680818640656,0.0745374350152997,0.028872228415348217,0.004315038064250984,0.08241153388198655,0.015034827763083741,0.05380178980354686,0.017574728130275618,0.04107659951718233,0.04308777952366654,0.02916245222906582,0.0261175593084954,0.011925754248768499,0.005756737021183653,0.05896093257977555,0.09446601903428017,0.035506799236882214,0.01421543502699933,0.0047213077533160685
esfp,0.017988780033349406,0.03994983654701664,0.021038408081437213,0.012366338851164586,0.07362950332300124,0.03236639873714388,0.06743050210726564,0.04042937100936912,0.03528168921544922,0.032346698939311434,0.01410852071976792,0.02407056818605918,0.01987870535077522,0.01871714357936468,0.052287032103484454,0.07863987697564671,0.0377516497400466,0.02046178903141293,0.006545347983471099
enfp,0.01555045264587,0.08971785617769482,0.01847679925036331,0.01071275350324209,0.05138977011359044,0.023736060615666486,0.06092234597399486,0.03138077223749875,0.025724081520199317,0.025857527291917565,0.028894763092292084,0.048584642354279194,0.01482559384969363,0.01063026430957059,0.04706808481507538,0.08196799807899127,0.037710293971657496,0.02218834599438912,0.009401940842827722
entp,0.013512769694833827,0.07822149542333064,0.01208840114666843,0.013755208574224544,0.06562280477458662,0.0384633726817421,0.06731141591870829,0.016490872744768053,0.024218328098767488,0.014152664924607886,0.031971324054761545,0.04217725065159065,0.011506599676849527,0.00587420421744864,0.03519074335482768,0.11088652728220835,0.0235809553751711,0.023652489147751986,0.013010969749671445
estj,0.012273815785226395,0.11701852536480371,0.020675576409785994,0.0042708043667831295,0.045887041513017236,0.03329506021779067,0.05943282505763313,0.02245319752083886,0.02048276537234527,0.028773213966264904,0.024807877928685263,0.065055896607966,0.030112634604275053,0.015624834468505952,0.03652990929192499,0.07460080303143861,0.058306670753244146,0.009339971443509574,0.013271299104406038
esfj,0.014168329235724827,0.049089369329227514,0.020100143556330642,0.008108786952184996,0.05755323029161012,0.016805008755822894,0.04556685164158504,0.05259315422197341,0.03449184568510515,0.06209551417942705,0.032529295543558656,0.02694851361245258,0.028317093833694733,0.023600538647103046,0.04715388231355367,0.06953628136721991,0.035247538149616,0.019671334237847032,0.01969677041904236
enfj,0.01589040422899219,0.09719580992676753,0.021057515072057293,0.013651519923955342,0.04551835757786413,0.01622627796945921,0.04855004602218094,0.04211822837510138,0.029577093233501904,0.04142628891937371,0.01867787769949797,0.05109714445270899,0.023525157475554084,0.026757595523814067,0.04982726927877923,0.06398620796069834,0.04053153289584198,0.015075099519609576,0.01675991551600415
entj,0.01041039547147268,0.10849327655295478,0.01908063220569954,0.003751851580527988,0.043693916216173134,0.022456000452552628,0.09108116169747557,0.027422075346010544,0.01992790104191289,0.023820882480319064,0.01726445310508694,0.10130410008637342,0.02329747984460945,0.01478933408617198,0.025993923200545513,0.10300378449911773,0.03246981448676553,0.007240333034230868,0.0016676313995003349
