,E,I,S,N,T,F,J,P
Topic 0,0.014683969410234483,0.013222685818424031,0.013748582856923366,0.01415807237173515,0.012342479815570972,0.015564175413087546,0.013374722538732814,0.0145319326899257
Topic 2,0.08177795054213692,0.08320823459185851,0.06457696204034989,0.10040922309364554,0.09312239939546961,0.07186378573852581,0.10016933549720668,0.06481684963678876
Topic 3,0.020173713017211332,0.02203805312751766,0.024602071157112965,0.017609694987616026,0.020508074731360525,0.021703691413368472,0.020519137097158982,0.02169262904757001
Topic 4,0.008866537727041707,0.012281911664951893,0.01044463357496537,0.010703815817028233,0.00933577627327633,0.011812673118717275,0.008997470941490924,0.01215097845050268
Topic 5,0.05821326971147869,0.0702032122480505,0.06955643945281423,0.058860042506714935,0.06581079333782333,0.06260568862170586,0.05547323835938246,0.07294324360014671
Topic 6,0.024797875899157704,0.023998511125028585,0.026253677771099288,0.022542709253086993,0.02633188566893066,0.022464501355255625,0.021126139719598844,0.027670247304587444
Topic 7,0.06176211727779879,0.058967789711351346,0.05997569383562336,0.060754213153526776,0.06590400398032528,0.05482590300882486,0.05946152480860255,0.06126838218054759
Topic 8,0.031307799948229464,0.04532856492776173,0.043261411484686645,0.03337495339130454,0.03135159944669607,0.04528476542929512,0.04210527249106401,0.03453109238492718
Topic 9,0.02884753796055795,0.037630219046971655,0.0380903002856428,0.02838745672188681,0.031494081580621745,0.03498367542690787,0.02899911381788237,0.03747864318964725
Topic 10,0.033945071278111014,0.0343750274394263,0.04130945330737198,0.027010645410165353,0.02898987267220736,0.03933022604532996,0.038360041578276986,0.029960057139260338
Topic 11,0.024677070546589526,0.027081881213671517,0.026136708975923746,0.0256222427843373,0.026611961552354506,0.025146990207906537,0.024360310193727187,0.02739864156653386
Topic 12,0.04816945940749067,0.04261528747759495,0.032221838573827474,0.05856290831125815,0.05467467400441713,0.03611007288066849,0.05917949843530878,0.03160524844977684
Topic 13,0.020423627360527524,0.02449236493415367,0.025903495064332264,0.019012497230348927,0.02217555296149288,0.022740439333188308,0.02637473878268996,0.018541253511991235
Topic 14,0.015218831481645326,0.02105045295793316,0.020664113448980795,0.015605170990597692,0.012774060068094473,0.023495224371484016,0.020449328733130538,0.015819955706447942
Topic 15,0.04412647211724581,0.05189853966353561,0.0549431722411432,0.04108183953963821,0.039323174004518846,0.05670183777626257,0.04759400205716993,0.04843100972361148
Topic 19,0.08463593727870014,0.0663155584058571,0.06676027724514182,0.08419121843941542,0.08387432552889579,0.06707717015566146,0.06854439470802887,0.08240710097652838
Topic 20,0.03763815682615314,0.04409071532787298,0.044416313789517735,0.03731255836450838,0.039449359863261015,0.0422795122907651,0.04261266095960896,0.039116211194417154
Topic 21,0.016480599679468803,0.016988447102747817,0.016230077609097643,0.017238969173118977,0.015593264860052457,0.01787578192216416,0.012916523651382884,0.020552523130833732
Topic 22,0.010634397846029901,0.009580744179179177,0.01065122993853692,0.009563912086672158,0.00761432143438002,0.01260082059082906,0.010312135362598193,0.009903006662610885
