MBTI Type,Topic Diversity
infj,2.6615643097678334
enfj,2.660009885203368
istj,2.6395530749274565
estj,2.637081626871876
intj,2.63142273576556
enfp,2.629532962552754
entj,2.625401104325902
esfj,2.6216564432877845
infp,2.6178500884780487
intp,2.616918875970196
isfj,2.6101645073245394
esfp,2.6094895182790485
estp,2.57726743600501
entp,2.575999271259357
isfp,2.5724492266699865
istp,2.566782360672902
