,E,I,S,N,T,F,J,P
Topic 0,0.06390779330069311,0.0735216742286765,0.07892193166393358,0.05850753586543604,0.07212409897863714,0.06530536855073249,0.06686848100242072,0.0705609865269489
Topic 2,0.04478278365982833,0.05310869247181273,0.055791006579180784,0.04210046955246028,0.04620855800033312,0.05168291813130795,0.045209791740781984,0.05268168439085909
Topic 3,0.02428446910501436,0.03476563152328411,0.03408888269954279,0.024961217928755674,0.02428323040268408,0.03476687022561438,0.03336303801903258,0.025687062609265888
Topic 4,0.016005466189769214,0.018042313842505712,0.019425810816024947,0.014621969216249978,0.014816154746548396,0.019231625285726528,0.019146403506665906,0.014901376525609019
Topic 6,0.05924582787071933,0.0575774041104011,0.05440328105836623,0.06241995092275421,0.05488770210167386,0.061935529879446574,0.051942147609567335,0.06488108437155309
Topic 7,0.03855384151256587,0.04148057734052102,0.03451377289565328,0.04552064595743361,0.03801912107539086,0.04201529777769604,0.039412217488233744,0.040622201364853144
Topic 8,0.03355773303422058,0.03427554724315372,0.02589169607920045,0.041941584198173856,0.0319218056621743,0.0359114746152,0.040050229127255414,0.027783051150118893
Topic 10,0.09230768278163709,0.08177504211710447,0.06758101194730431,0.10650171295143726,0.10116299420672248,0.07291973069201908,0.092931906329252,0.08115081856948957
Topic 12,0.05361875622268657,0.07171028577554153,0.07663093874605932,0.04869810325216878,0.05087078748625204,0.07445825451197607,0.06513188529412461,0.06019715670410349
Topic 13,0.037158505647149245,0.03731812087299868,0.036794683412266826,0.037681943107881095,0.04141774530114031,0.03305888121900761,0.03520018169834617,0.03927644482180174
Topic 14,0.02250109191838644,0.017323168733790178,0.020890660360590643,0.018933600291585972,0.018191712684500556,0.02163254796767606,0.022745027904679582,0.017079232747497036
Topic 15,0.021583235759910797,0.029770816742677283,0.02898519400059587,0.02236885850199221,0.019966370781840225,0.03138768172074786,0.024131773958326903,0.027222278544261173
Topic 16,0.02041283871393886,0.024253655013461398,0.028035118816428038,0.016631374910972215,0.01855327187453545,0.026113221852864806,0.024576426379338552,0.020090067348061704
Topic 17,0.021417157709814873,0.02485742903661124,0.024914499927585636,0.021360086818840475,0.02373043693091374,0.022544149815512365,0.018877640262029094,0.027396946484397014
Topic 18,0.02946145657657665,0.027440484525081445,0.020483525122202667,0.03641841597945542,0.032488430105150165,0.024413510996507924,0.03649356384945246,0.020408377252205637
Topic 19,0.008401193415813423,0.008523250136409503,0.008695521310281193,0.008228922241941734,0.007887844782745852,0.009036598769477074,0.00885978413456101,0.008064659417661914
