MBTI Type,Topic Diversity
istj,2.8181516363766677
isfj,2.794700213211369
istp,2.7842184823790577
esfj,2.777291086239498
intp,2.7707274370676442
infp,2.7630409525541095
estj,2.7533613344651044
estp,2.7507826534972133
infj,2.7472955500061147
isfp,2.73932246606991
enfj,2.7327428657004655
esfp,2.7320717363311755
enfp,2.7279945385251985
intj,2.7172936653299553
entp,2.70569887070238
entj,2.6857123514504764
