,E,I,S,N,T,F,J,P
Topic 0,0.019257773023726877,0.019992348305586584,0.02183276500658475,0.017417356322728707,0.019484647805622476,0.019765473523690985,0.01880792694027132,0.02044219438904214
Topic 1,0.02507260418535208,0.027649973483279855,0.030513562032881136,0.022209015635750798,0.023576781899483628,0.02914579576914831,0.027662298353375032,0.025060279315256898
Topic 2,0.08109736900695533,0.0704304564902064,0.07041223351068152,0.08111559198648023,0.06700261747794577,0.08452520801921598,0.09452636217678004,0.057001463320381696
Topic 3,0.00846994568578014,0.01217043005273042,0.010928644143452576,0.009711731595057987,0.00973295499652748,0.010907420741983082,0.012360031163469364,0.008280344575041197
Topic 4,0.18410667166445283,0.1600564872173676,0.17132302125288704,0.17284013762893335,0.1780692882230545,0.1660938706587659,0.16419779380958938,0.17996536507223104
Topic 5,0.012537799117334053,0.012643108909931384,0.012394471320035632,0.012786436707229802,0.014128174061533922,0.01105273396573151,0.011512495300007983,0.013668412727257453
Topic 6,0.045927749104514526,0.04002471229319459,0.032028023897938865,0.05392443749977026,0.04950187181871127,0.03645058957899785,0.05483727323345364,0.031115188164255493
Topic 7,0.010276241311955706,0.008972376776151331,0.010935787512943601,0.008312830575163438,0.010537205528742637,0.008711412559364402,0.010520300594727267,0.00872831749337977
Topic 8,0.03988301970591108,0.04375790132388637,0.04036925317134446,0.043271667858453,0.04285335448215593,0.04078756654764153,0.03442353468532503,0.049217386344472425
Topic 9,0.10611109428527575,0.10742510339312271,0.09236007721186308,0.12117612046653535,0.11095445236626189,0.10258174531213654,0.09830300327552151,0.11523319440287694
Topic 10,0.022548743204176776,0.026813931193534996,0.025980780282453677,0.0233818941152581,0.02562038608495421,0.023742288312757563,0.025289739877159365,0.024072934520552407
Topic 11,0.07399374892308733,0.06630309584781262,0.05250325522819711,0.08779358954270285,0.08613779267490784,0.05415905209599212,0.08506374673131321,0.05523309803958673
Topic 12,0.061911746809707964,0.08553741650820815,0.08455246931114976,0.06289669400676634,0.06121212583425043,0.0862370374836657,0.07167741896733218,0.07577174435058394
Topic 13,0.03252203756658811,0.02632882093808684,0.02781080701282344,0.031040051491851517,0.027271215462492126,0.031579643042182824,0.02558438279651511,0.03326647570815984
Topic 14,0.006204298138753732,0.006050216384509254,0.0073800424588693105,0.0048744720643936765,0.005352649258150932,0.006901865265112054,0.007722661831801118,0.00453185269146187
Topic 15,0.07270474668811237,0.06189098158775004,0.07421613584830873,0.06037959242755368,0.06822040663499469,0.06637532164086772,0.0519639112996189,0.08263181697624351
Topic 16,0.020835412296811802,0.020961346660468227,0.020750860289727734,0.02104589866755229,0.024813396961003986,0.016983361996276043,0.018175112953213883,0.023621646004066146
Topic 17,0.030959146167733775,0.029702015044159792,0.03237745561137448,0.02828370560051909,0.03420953510590269,0.026451626105990875,0.0253078601468744,0.03535330106501917
Topic 18,0.03490972663183946,0.03509802284413056,0.04364310646318839,0.02636464301278162,0.03013248900144435,0.03987526047452567,0.039142810652140744,0.03086493882382927
Topic 19,0.06679805421658222,0.08826056371134894,0.08959504175543485,0.06546357617249632,0.06409956966766045,0.09095904826027072,0.07875037344632316,0.07630824448160801
Topic 20,0.022758958817849312,0.026458043807252703,0.02410299394531474,0.025114008679787275,0.02353453406842114,0.02568246855668088,0.026208336122995456,0.023008666502106558
Topic 21,0.02111311472985148,0.02347264772697317,0.0239892146854873,0.020596547771337348,0.023554551368859693,0.021031211087964963,0.017962626123007717,0.02662313633381693
