,E,I,S,N,T,F,J,P
Topic 0,0.02991842205165445,0.04050700605200166,0.04084457518174896,0.029580852921907153,0.031274965943847176,0.039150462159808934,0.03563351789924547,0.034791910204410643
Topic 1,0.027411128048711632,0.027129654891013516,0.02985213041690103,0.024688652522824116,0.02815366766869707,0.026387115271028074,0.024093537238286097,0.03044724570143905
Topic 2,0.012641134510116654,0.015008058942151398,0.013181861608100209,0.014467331844167841,0.014531277965102193,0.013117915487165859,0.013369898427500292,0.014279295024767762
Topic 3,0.03490312232116844,0.03715583323136767,0.04077953592387149,0.03127941962866462,0.03542729519521479,0.036631660357321315,0.031427624097933975,0.04063133145460213
Topic 4,0.033273339522949696,0.02827713257966051,0.03223671200004926,0.029313760102560954,0.036866112289955046,0.02468435981265517,0.02755009457682496,0.03400037752578525
Topic 5,0.016532020095675597,0.01156473861978316,0.015000578368854545,0.013096180346604211,0.011927657744325724,0.016169100971133034,0.014288808420588637,0.01380795029487012
Topic 6,0.037275908007702606,0.0386553058774309,0.046725264209100656,0.02920594967603285,0.032461640753292394,0.043469573131841105,0.04265923308731668,0.03327198079781682
Topic 7,0.07528796882092381,0.09375371521730008,0.09247564521850277,0.07656603881972111,0.07671984770465934,0.09232183633356457,0.09069097364462514,0.07835071039359875
Topic 8,0.04093734619816985,0.03846714130973068,0.03725000535467786,0.04215448215322267,0.036660589368789846,0.04274389813911069,0.032080255569881505,0.04732423193801903
Topic 9,0.14286303583527055,0.12383557221406025,0.1321000060315827,0.13459860201774806,0.1269703387395158,0.139728269309815,0.14266262199544275,0.12403598605388802
Topic 10,0.07240806181935326,0.0731629859636661,0.06861753155121274,0.07695351623180662,0.07435607892337659,0.07121496885964276,0.0639547748088254,0.08161627297419395
Topic 11,0.02270499480555862,0.03034760076668421,0.029447101041912217,0.023605494530330617,0.020071849550603874,0.03298074602163896,0.028439047704456797,0.024613547867786037
Topic 12,0.04261004904115492,0.0381916579876728,0.029522936997008323,0.0512787700318194,0.04731049187592065,0.033491215152907074,0.05060937945791002,0.030192327570917703
Topic 13,0.02525087695386844,0.02593939957795115,0.02715593388203554,0.024034342649784057,0.027177106854157092,0.0240131696776625,0.021315375985284723,0.029874900546534865
Topic 14,0.04304068789686862,0.0547651153080356,0.05194215605594853,0.04586364714895569,0.040607670594133165,0.057198132610771044,0.047249624381516545,0.05055617882338767
Topic 15,0.03425673849291334,0.03605276617350176,0.042097098116179774,0.028212406550235325,0.033955876752946965,0.036353627913468134,0.0340981073614958,0.03621139730491929
Topic 16,0.1408365048116028,0.12839428437106448,0.10380881485253214,0.1654219743301351,0.15024769624202927,0.118983092940638,0.16240767717815707,0.10682311200451022
Topic 17,0.021471391048318373,0.03199567498741287,0.0310706145397567,0.02239645149597454,0.023818236990637127,0.029648829045094117,0.029951196027476947,0.023515870008254294
Topic 18,0.14637726879213434,0.1267963563896316,0.13589149858478708,0.1372821265969788,0.15146159859397285,0.12171202658779305,0.10751825131722983,0.16565537386453608
