,E,I,S,N,T,F,J,P
Topic 0,0.014135999807192823,0.011948568134288542,0.012353923258145497,0.013730644683335867,0.011801183710184631,0.014283384231296735,0.012891520704616497,0.01319304723686487
Topic 1,0.12898280993629962,0.1152664925905467,0.11496667647633868,0.12928262605050764,0.10992277387885133,0.13432652864799502,0.14224128991448018,0.10200801261236615
Topic 2,0.09424862051474964,0.09219918238768046,0.0729765595268509,0.11347124337557918,0.10366745452189174,0.08278034838053833,0.11106121769473801,0.07538658520769206
Topic 3,0.020265119723999393,0.02204858123886928,0.023981611632487826,0.018332089330380847,0.019661322362055398,0.022652378600813275,0.020358708181243412,0.02195499278162526
Topic 4,0.029699038275772388,0.029821342218763057,0.02904508788802026,0.03047529260651518,0.027614615029029448,0.031905765465506,0.022595035452755416,0.03692534504178003
Topic 5,0.07277232090470559,0.050217897804722196,0.062471739362107974,0.0605184793473198,0.07003659005870021,0.052953628650727565,0.04945834092934294,0.07353187778008483
Topic 6,0.019690035689800045,0.019971445772809703,0.021090668963040148,0.018570812499569603,0.021338573110768217,0.018322908351841534,0.017234362903628578,0.022427118558981173
Topic 7,0.07811284085026358,0.07616573001033321,0.07858362696818277,0.075694943892414,0.08542968312465038,0.06884888773594643,0.07106522586877655,0.08321334499182026
Topic 8,0.02007445365667149,0.02763106284731259,0.026711979897354313,0.020993536606629764,0.0194500445794137,0.028255471924570376,0.02645800841834173,0.021247508085642346
Topic 9,0.027126420504206515,0.02497512874022532,0.026342710193353023,0.025758839051078817,0.022586175025919333,0.029515374218512504,0.02349527796976249,0.02860627127466935
Topic 10,0.03747675614847925,0.03717957241450789,0.04546778281159857,0.02918854575138856,0.031568158561245466,0.04308817000174167,0.042240232969963674,0.03241609559302347
Topic 11,0.015934238810706325,0.01432392557231557,0.0167672162462814,0.0134909481367405,0.01390751903906738,0.01635064534395452,0.01826867357165061,0.011989490811371288
Topic 12,0.052137708761013674,0.04604048576811727,0.034991518242773925,0.06318667628635702,0.05805573566787754,0.0401224588612534,0.06429417966227069,0.033884014866860254
Topic 14,0.013998341829642713,0.020436231440300972,0.020736221732263502,0.013698351537680186,0.017996577855569868,0.016437995414373817,0.02142095555625735,0.013013617713686336
Topic 15,0.08798753746599294,0.1135001132914476,0.1186688143928216,0.08281883636461895,0.08473319792651934,0.1167544528309212,0.09619725642183911,0.10529039433560146
Topic 16,0.01464712273013219,0.022148354094863158,0.019743239160434363,0.01705223766456098,0.013847332994494588,0.022948143830500756,0.019497668630226842,0.0172978081947685
Topic 17,0.10871469605958108,0.11509624706290811,0.11455354682703033,0.10925739629545887,0.11873649673279871,0.10507444638969049,0.09068927352367,0.13312166959881921
Topic 18,0.10820484992532162,0.0961807000905557,0.09195555233606109,0.11242999767981621,0.11256458945862471,0.09182096055725257,0.09274177895520103,0.11164377106067623
