,E,I,S,N,T,F,J,P
Topic 0,0.02786769629026514,0.025819811658517246,0.027690009186631077,0.0259974987621513,0.030526836500809833,0.02316067144797255,0.024762247348579985,0.028925260600202393
Topic 1,0.07724453544935134,0.08158038317170818,0.0893990956118588,0.06942582300920071,0.08184978087650588,0.07697513774455364,0.06543021790304906,0.09339470071801045
Topic 2,0.057182163662910186,0.04460364975886094,0.04734602294362522,0.054439790478145914,0.049302060862434195,0.05248375255933694,0.059111296370082424,0.042674517051688704
Topic 3,0.03467799674426762,0.035202566015715656,0.043312847489600556,0.026567715270382722,0.03039160439449214,0.03948895836549114,0.039279029170547985,0.030601533589435296
Topic 4,0.07549254510648803,0.06574641475309224,0.050766447150747185,0.09047251270883311,0.08762814032460205,0.053610819534978246,0.08869808369471757,0.05254087616486271
Topic 5,0.03073159599706439,0.02957795376823745,0.03252492426116362,0.027784625504138218,0.026269788411777902,0.03403976135352395,0.02837498016429009,0.03193456960101176
Topic 6,0.02149062305990234,0.02191759444406054,0.023010786177074666,0.020397431326888215,0.023042782447538074,0.020365435056424807,0.0175538295837198,0.025854387920243083
Topic 7,0.016849434770637477,0.020819522831768508,0.01982805223557452,0.017840905366831472,0.020900363109784048,0.016768594492621944,0.018592523351010627,0.019076434251395366
Topic 8,0.015514270345000615,0.01949985944479759,0.017121006882606284,0.01789312290719192,0.013388966662679925,0.02162516312711828,0.01571597470190359,0.019298155087894616
Topic 9,0.039954498934548416,0.05912949460880588,0.06092655231211112,0.03815744123124318,0.04641590991297472,0.052668083630379565,0.05081456530852834,0.048269428234825947
Topic 11,0.020102061256645966,0.017570837881132374,0.01801871882990226,0.019654180307876083,0.017305493964957935,0.02036740517282041,0.014977496039724583,0.02269540309805376
Topic 12,0.021965928140965738,0.01526939841864699,0.018723944810270506,0.01851138174934222,0.01875337452226803,0.0184819520373447,0.018606104893149983,0.018629221666462747
Topic 13,0.06047938309948347,0.05823117033554662,0.0609475044788746,0.05776304895615549,0.05259737169587053,0.06611318173915956,0.05854850507794274,0.06016204835708734
Topic 15,0.012570587388328171,0.010934893289428625,0.011766575399884885,0.01173890527787191,0.010198766843602321,0.013306713834154476,0.013430026362445665,0.010075454315311132
Topic 16,0.0110966740496144,0.014085161966550751,0.015245063438468346,0.009936772577696805,0.011459333488469964,0.013722502527695189,0.01178577797462435,0.013396058041540801
Topic 17,0.017893350991857362,0.019795784595585023,0.017592773434117522,0.020096362153324866,0.018620030572172777,0.01906910501526961,0.01980226201119243,0.017886873576249955
Topic 19,0.014137703584583113,0.01472955894089289,0.01668077180303365,0.01218649072244235,0.014414455772060356,0.014452806753415646,0.012988420869703395,0.015878841655772608
Topic 20,0.016295859242410133,0.0208480167725223,0.020052533115676556,0.017091342899255877,0.012952379679452024,0.02419149633548041,0.02123686977637019,0.015907006238562244
Topic 21,0.016920696069980517,0.023382516347475197,0.02306171596879996,0.017241496448655757,0.017025905865576653,0.023277306551879057,0.02179780218399628,0.018505410233459432
Topic 22,0.035642086980924866,0.04112620917959191,0.04260175430431924,0.03416654185619754,0.03527607484034151,0.04149222132017527,0.04282978684885938,0.03393850931165739
Topic 23,0.028044614639932918,0.03362917550479383,0.02972324731419997,0.03195054283052677,0.03112521302912538,0.030548577115601362,0.024707865685120914,0.03696592445960584
