MBTI Type,Topic Diversity
infp,2.8985444558509723
istp,2.8896087958066143
esfj,2.880337407404942
isfj,2.8801893831289394
enfp,2.8728275973619826
isfp,2.8691502928713044
enfj,2.861676131922585
infj,2.8588098877548793
estp,2.8493020980088697
esfp,2.8232263559494366
istj,2.822946193351012
intp,2.8208863275339295
entp,2.791947408999555
estj,2.7632300706021686
intj,2.7465604027033956
entj,2.673217865825011
